Index,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Experience,Total Awards,Draft Year,Draft Round,Draft Pick
124,6,28,3,14,2,11,12,1,1,876,16481,TRUE,18.8,7.4,2.3,1.85,68,72,558,1948,13,9,1970,2,19
125,3,0,0,0,0,0,0,0,0,44,51,FALSE,1.2,0.4,1.6,2.11,113,56,251,1980,3,1,2002,2,31
126,0,0,0,0,0,0,0,0,0,237,1031,FALSE,1.3,1.2,0.8,1.91,88,72,595,1994,5,0,-1,-1,-1
127,1,9,4,2,0,3,3,0,1,218,771,FALSE,3.5,0.7,3.8,2.06,98,72,119,1948,4,0,1970,1,6
128,6,44,8,14,6,14,14,6,2,552,11402,FALSE,20.7,5.3,3.9,1.93,98,72,19,1982,12,13,2001,2,30
129,0,30,15,9,4,10,6,6,2,1118,11593,FALSE,10.4,2.1,4.8,2.03,98,72,577,1985,18,0,2004,2,43
130,3,43,0,8,0,16,15,0,0,713,16266,TRUE,22.8,2.3,8.6,1.93,86,72,595,1928,10,6,1950,-1,-1
132,6,23,6,10,4,10,10,4,1,747,7320,FALSE,9.8,3.3,1.8,1.88,84,72,262,1967,11,0,1989,1,18
133,1,0,0,0,0,0,0,0,0,19,28,FALSE,1.5,0.2,2.1,2.03,100,72,331,1933,1,0,1955,-1,-1
134,6,2,2,1,1,1,0,0,0,108,239,FALSE,2.2,0.2,0.6,1.96,84,72,429,1980,4,0,2001,1,23
135,6,21,10,8,4,6,9,4,1,840,7712,FALSE,9.2,4,2.7,1.85,82,72,192,1968,15,4,-1,-1,-1
136,4,9,6,1,2,4,3,0,2,292,880,FALSE,3,0.3,2.6,2.11,107,72,133,1984,6,0,2006,1,12
137,6,8,0,2,0,4,1,0,0,153,1040,FALSE,6.8,2.3,2.3,1.8,77,72,256,1918,3,0,-1,-1,-1
138,6,0,0,0,0,0,0,0,0,92,350,FALSE,3.8,1.1,1,1.91,79,72,163,1955,2,1,1977,1,13
139,3,0,0,0,0,0,0,0,0,31,147,FALSE,4.7,0.6,5.5,1.96,100,72,426,1933,1,0,1955,2,13
140,6,6,0,3,0,3,4,0,0,114,424,FALSE,3.7,1.2,1,1.88,79,72,557,1938,3,1,1960,2,9
141,3,0,0,0,0,0,0,0,0,55,301,FALSE,5.5,0.4,2.8,1.96,93,72,401,1947,1,0,1969,8,103
142,6,8,4,7,1,4,5,0,1,569,3770,FALSE,6.6,3.1,1.7,1.88,91,52,199,1979,10,1,-1,-1,-1
143,3,14,6,2,2,7,3,1,3,503,3282,FALSE,6.5,0.8,3.5,2.06,107,72,271,1988,10,0,2008,1,27
144,6,0,0,0,0,0,0,0,0,11,35,FALSE,3.2,1.5,1.3,1.93,84,72,573,1947,1,0,1969,6,73
145,6,0,0,0,0,0,0,0,0,15,77,FALSE,5.1,1.2,2.5,2.01,97,72,437,1993,2,0,-1,-1,-1
146,1,21,15,2,2,7,13,0,4,471,2479,FALSE,5.3,0.6,7.1,2.13,116,70,193,1986,9,0,2008,2,36
147,0,12,6,5,2,5,5,2,3,467,3311,FALSE,7.1,2.2,2.5,1.98,95,72,324,1966,9,0,1987,2,39
148,5,13,5,3,2,4,3,2,1,486,1852,FALSE,3.8,0.8,2.9,2.03,98,72,5,1967,9,0,-1,-1,-1
150,6,0,0,0,0,0,0,0,0,43,137,FALSE,3.2,1.2,1.5,1.88,86,72,257,1931,2,0,1953,-1,-1
151,6,23,7,8,3,8,9,4,1,696,6863,FALSE,9.9,3.4,1.7,1.8,84,72,493,1974,12,1,-1,-1,-1
152,6,18,0,12,0,8,8,0,0,711,6328,FALSE,8.9,3.5,3.5,1.85,79,72,381,1936,11,0,1960,5,39
